epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,237.189,1.72387,1.46308,1.71,0.58992,0.44705,0.48863,0.21542,1.71208,1.45314,1.63909,0.0097294,0.0097294,0.0097294
43,242.519,1.71678,1.43443,1.69263,0.57235,0.42558,0.47044,0.20637,1.71006,1.58206,1.63012,0.0097228,0.0097228,0.0097228
44,247.679,1.73676,1.44165,1.69654,0.58977,0.45726,0.49114,0.216,1.70789,1.45124,1.63117,0.0097162,0.0097162,0.0097162
45,252.883,1.71297,1.44134,1.68874,0.57871,0.46466,0.49419,0.22066,1.6681,1.4223,1.60177,0.0097096,0.0097096,0.0097096
46,258.151,1.73414,1.45008,1.7061,0.58438,0.44066,0.48285,0.21678,1.67696,1.46003,1.61232,0.009703,0.009703,0.009703
47,263.511,1.73071,1.43453,1.68301,0.57572,0.46178,0.49436,0.22031,1.67267,1.41809,1.61179,0.0096964,0.0096964,0.0096964
48,268.872,1.70971,1.39876,1.65351,0.5979,0.45738,0.50404,0.22967,1.64275,1.41834,1.58876,0.0096898,0.0096898,0.0096898
49,274.099,1.68736,1.41215,1.65923,0.61633,0.46006,0.51044,0.22901,1.66889,1.40532,1.60501,0.0096832,0.0096832,0.0096832
50,279.457,1.6766,1.41069,1.66711,0.59163,0.46206,0.50068,0.22032,1.68671,1.42304,1.60622,0.0096766,0.0096766,0.0096766
51,284.653,1.66203,1.37795,1.66273,0.60136,0.45836,0.49335,0.22203,1.67335,1.41871,1.60631,0.00967,0.00967,0.00967
52,289.906,1.64318,1.36047,1.64174,0.5973,0.47486,0.52473,0.23189,1.6618,1.4075,1.57777,0.0096634,0.0096634,0.0096634
53,295.119,1.65376,1.38209,1.64338,0.56916,0.44643,0.47131,0.20649,1.6917,1.50855,1.60602,0.0096568,0.0096568,0.0096568
54,300.541,1.64078,1.38079,1.64376,0.5854,0.44521,0.47908,0.21773,1.66386,1.42346,1.58708,0.0096502,0.0096502,0.0096502
55,305.9,1.66977,1.38207,1.66038,0.60303,0.4823,0.51619,0.22957,1.65848,1.40837,1.57761,0.0096436,0.0096436,0.0096436
56,311.106,1.64316,1.35904,1.66392,0.63933,0.47883,0.5404,0.24004,1.65175,1.37068,1.57279,0.009637,0.009637,0.009637
57,317.622,1.66491,1.3744,1.64308,0.60319,0.47229,0.51581,0.23077,1.65583,1.41501,1.58345,0.0096304,0.0096304,0.0096304
58,325.167,1.66422,1.35828,1.64918,0.61275,0.47852,0.52177,0.23699,1.64997,1.36139,1.58732,0.0096238,0.0096238,0.0096238
59,332.495,1.63124,1.32352,1.62434,0.60295,0.47067,0.5133,0.22922,1.64999,1.3861,1.57449,0.0096172,0.0096172,0.0096172
60,339.784,1.60249,1.30155,1.59344,0.58109,0.47487,0.51159,0.23328,1.66925,1.37456,1.59308,0.0096106,0.0096106,0.0096106
61,345.634,1.65038,1.36452,1.65438,0.61212,0.48199,0.52491,0.238,1.64876,1.37082,1.56893,0.009604,0.009604,0.009604
62,350.909,1.61609,1.33066,1.6277,0.62403,0.4809,0.52881,0.23814,1.62905,1.39134,1.56107,0.0095974,0.0095974,0.0095974
63,356.195,1.63278,1.31606,1.60575,0.63342,0.49185,0.53272,0.23895,1.64977,1.36484,1.57065,0.0095908,0.0095908,0.0095908
64,361.423,1.6613,1.33734,1.62965,0.60308,0.47702,0.50937,0.23517,1.63403,1.42247,1.56888,0.0095842,0.0095842,0.0095842
65,366.86,1.62585,1.3438,1.63096,0.6071,0.49413,0.52941,0.24204,1.62452,1.3433,1.55202,0.0095776,0.0095776,0.0095776
66,371.959,1.64321,1.34339,1.63637,0.63555,0.48244,0.54161,0.24227,1.62995,1.35403,1.55247,0.009571,0.009571,0.009571
67,377.252,1.63397,1.34243,1.62261,0.57326,0.49486,0.51979,0.23995,1.61963,1.39169,1.55002,0.0095644,0.0095644,0.0095644
68,382.454,1.63068,1.34464,1.6282,0.62916,0.46383,0.52347,0.24024,1.62375,1.38048,1.5609,0.0095578,0.0095578,0.0095578
69,387.882,1.63677,1.33347,1.62764,0.63546,0.47028,0.5298,0.23197,1.64774,1.38978,1.56773,0.0095512,0.0095512,0.0095512
70,393.148,1.59381,1.28664,1.58627,0.64398,0.48394,0.54181,0.24476,1.61613,1.35647,1.547,0.0095446,0.0095446,0.0095446
71,398.41,1.58874,1.28482,1.59383,0.6396,0.49696,0.55281,0.25182,1.60381,1.32598,1.52893,0.009538,0.009538,0.009538
72,403.655,1.61826,1.3077,1.60339,0.64359,0.49626,0.54166,0.24748,1.60996,1.34017,1.53136,0.0095314,0.0095314,0.0095314
73,408.854,1.60023,1.28461,1.58257,0.6244,0.49218,0.53873,0.24436,1.63478,1.35284,1.56399,0.0095248,0.0095248,0.0095248
74,413.958,1.59827,1.28557,1.58321,0.65769,0.49783,0.55822,0.25416,1.60223,1.35284,1.53407,0.0095182,0.0095182,0.0095182
75,419.406,1.59111,1.29369,1.59352,0.60911,0.49399,0.542,0.25166,1.60781,1.34202,1.54268,0.0095116,0.0095116,0.0095116
76,424.786,1.60848,1.30635,1.59819,0.60717,0.50069,0.53961,0.24595,1.61139,1.35503,1.53624,0.009505,0.009505,0.009505
77,429.956,1.62162,1.33631,1.62082,0.63492,0.50532,0.55435,0.2534,1.59536,1.32316,1.53016,0.0094984,0.0094984,0.0094984
78,435.262,1.58547,1.28581,1.57611,0.60451,0.4921,0.52051,0.23921,1.6186,1.38087,1.53628,0.0094918,0.0094918,0.0094918
79,440.623,1.594,1.29148,1.58928,0.67313,0.50131,0.56735,0.2639,1.56522,1.29094,1.51334,0.0094852,0.0094852,0.0094852
80,445.939,1.61239,1.30534,1.59134,0.64586,0.49635,0.54005,0.24962,1.59919,1.33926,1.53462,0.0094786,0.0094786,0.0094786
81,451.195,1.59031,1.28445,1.58328,0.60805,0.50568,0.55343,0.25472,1.58082,1.34113,1.52115,0.009472,0.009472,0.009472
82,456.529,1.58811,1.2955,1.59227,0.64473,0.51822,0.5719,0.26367,1.56058,1.33415,1.50414,0.0094654,0.0094654,0.0094654
83,461.858,1.56394,1.26273,1.58466,0.63507,0.50867,0.56053,0.25988,1.56327,1.33102,1.49847,0.0094588,0.0094588,0.0094588
84,467.264,1.58256,1.27858,1.58951,0.64329,0.50569,0.56196,0.26535,1.54903,1.31925,1.48886,0.0094522,0.0094522,0.0094522
85,472.553,1.57649,1.27474,1.57974,0.64077,0.49547,0.55184,0.25598,1.57884,1.34145,1.51297,0.0094456,0.0094456,0.0094456
86,477.85,1.58298,1.27066,1.57206,0.62485,0.51876,0.56613,0.259,1.58184,1.33067,1.51372,0.009439,0.009439,0.009439
87,483.237,1.54264,1.24723,1.5549,0.65886,0.51171,0.57149,0.26457,1.56494,1.292,1.50635,0.0094324,0.0094324,0.0094324
88,488.453,1.57957,1.26736,1.57946,0.66276,0.50978,0.57456,0.27084,1.54181,1.28893,1.49177,0.0094258,0.0094258,0.0094258
89,493.592,1.5408,1.24922,1.55776,0.66498,0.50276,0.56701,0.26372,1.57958,1.34704,1.51363,0.0094192,0.0094192,0.0094192
90,498.958,1.55247,1.27078,1.58064,0.62329,0.50953,0.5486,0.25697,1.5775,1.32367,1.51609,0.0094126,0.0094126,0.0094126
91,504.214,1.57162,1.26383,1.58888,0.6495,0.51794,0.56483,0.26241,1.57305,1.31745,1.51377,0.009406,0.009406,0.009406
92,509.639,1.55471,1.26133,1.57294,0.65405,0.51076,0.57513,0.26639,1.58107,1.29677,1.51618,0.0093994,0.0093994,0.0093994
93,514.963,1.58523,1.29879,1.60528,0.60424,0.49684,0.5287,0.24721,1.61706,1.34145,1.54196,0.0093928,0.0093928,0.0093928
94,520.197,1.57829,1.27858,1.58846,0.63612,0.49655,0.56205,0.25992,1.59377,1.34267,1.52127,0.0093862,0.0093862,0.0093862
95,525.6,1.56522,1.2749,1.58047,0.65696,0.5052,0.56559,0.26457,1.57808,1.29625,1.50596,0.0093796,0.0093796,0.0093796
96,530.862,1.55368,1.24809,1.55338,0.63277,0.50296,0.56274,0.26246,1.55441,1.30088,1.49054,0.009373,0.009373,0.009373
97,536.1,1.55075,1.23806,1.54507,0.64656,0.50661,0.57128,0.27043,1.54573,1.30306,1.49089,0.0093664,0.0093664,0.0093664
98,541.361,1.5836,1.24207,1.54772,0.64103,0.50794,0.55469,0.25925,1.58748,1.2789,1.51556,0.0093598,0.0093598,0.0093598
99,546.63,1.56828,1.27217,1.57919,0.62647,0.51864,0.56299,0.2657,1.55867,1.30984,1.49838,0.0093532,0.0093532,0.0093532
100,552.087,1.58084,1.28866,1.58804,0.63113,0.48155,0.53296,0.25173,1.5896,1.30593,1.52681,0.0093466,0.0093466,0.0093466
