epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,403.459,1.46572,1.03021,1.29125,0.7116,0.60022,0.649,0.31037,1.73573,1.16434,1.50611,0.0097294,0.0097294,0.0097294
43,412.816,1.45254,1.01268,1.27696,0.71955,0.58919,0.65169,0.30816,1.74624,1.18938,1.48486,0.0097228,0.0097228,0.0097228
44,422.049,1.46157,1.01836,1.28135,0.70881,0.58531,0.63697,0.30929,1.73332,1.2092,1.48843,0.0097162,0.0097162,0.0097162
45,431.278,1.42992,1.01376,1.28309,0.70238,0.58041,0.64712,0.3192,1.71408,1.1802,1.46359,0.0097096,0.0097096,0.0097096
46,440.526,1.45042,1.01546,1.27447,0.73835,0.59993,0.65717,0.3122,1.73916,1.18322,1.48587,0.009703,0.009703,0.009703
47,449.756,1.44203,1.00631,1.26855,0.7172,0.58824,0.65147,0.31974,1.69356,1.18785,1.46792,0.0096964,0.0096964,0.0096964
48,459.132,1.43119,1.0066,1.26632,0.7049,0.60525,0.65616,0.31985,1.70927,1.16905,1.47016,0.0096898,0.0096898,0.0096898
49,468.371,1.40459,0.98394,1.26051,0.72876,0.59688,0.6572,0.32138,1.66758,1.20805,1.44869,0.0096832,0.0096832,0.0096832
50,477.592,1.41107,0.97927,1.25029,0.73347,0.6017,0.662,0.32315,1.68718,1.17001,1.45247,0.0096766,0.0096766,0.0096766
51,486.814,1.42154,0.98792,1.25969,0.73339,0.60506,0.66469,0.33222,1.66699,1.15549,1.45382,0.00967,0.00967,0.00967
52,496.096,1.40374,0.97689,1.25324,0.7445,0.61401,0.67015,0.33895,1.64334,1.13521,1.43599,0.0096634,0.0096634,0.0096634
53,505.43,1.40486,0.97973,1.25894,0.72396,0.59981,0.65038,0.31896,1.68811,1.16841,1.44567,0.0096568,0.0096568,0.0096568
54,514.673,1.39297,0.97101,1.25091,0.74701,0.60581,0.67068,0.33742,1.64466,1.13521,1.42731,0.0096502,0.0096502,0.0096502
55,523.911,1.39406,0.97676,1.25992,0.69872,0.62249,0.67075,0.34119,1.63891,1.12726,1.43487,0.0096436,0.0096436,0.0096436
56,533.149,1.38605,0.95938,1.24351,0.74133,0.61336,0.67878,0.34395,1.64816,1.1081,1.43739,0.009637,0.009637,0.009637
57,542.385,1.37424,0.95282,1.23683,0.73353,0.59283,0.66547,0.33308,1.66592,1.14782,1.4313,0.0096304,0.0096304,0.0096304
58,551.746,1.38361,0.95525,1.24059,0.75486,0.6125,0.67991,0.3488,1.61256,1.11204,1.42247,0.0096238,0.0096238,0.0096238
59,560.979,1.38572,0.96115,1.24113,0.75214,0.60779,0.68302,0.34904,1.63485,1.09839,1.43619,0.0096172,0.0096172,0.0096172
